94208598.650813-200860249.896731j,-5.140699-0.128417j,-5.140699-0.128417j,0.000000
94181553.104350-200884783.469065j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.104431-200884783.469057j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.104593-200884783.469040j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.104755-200884783.469024j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.104917-200884783.469008j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.105079-200884783.468992j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.105241-200884783.468976j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.105403-200884783.468960j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.105566-200884783.468943j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.105728-200884783.468927j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.105890-200884783.468911j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.106052-200884783.468895j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.106376-200884783.468862j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.106700-200884783.468830j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.107024-200884783.468798j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.107348-200884783.468765j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.107672-200884783.468733j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.107996-200884783.468700j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.108320-200884783.468668j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.108644-200884783.468636j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.108968-200884783.468603j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.109292-200884783.468571j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.109940-200884783.468506j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.110588-200884783.468441j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.111236-200884783.468377j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.111884-200884783.468312j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.112532-200884783.468247j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.113180-200884783.468182j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.113828-200884783.468118j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.114476-200884783.468053j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.115124-200884783.467988j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.115772-200884783.467923j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.116582-200884783.467842j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.117392-200884783.467761j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.118203-200884783.467680j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.119013-200884783.467599j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.119823-200884783.467518j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.120633-200884783.467437j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.121443-200884783.467356j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.122253-200884783.467275j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.123063-200884783.467194j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.123873-200884783.467113j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.124683-200884783.467033j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.125493-200884783.466952j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.126303-200884783.466871j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.127113-200884783.466790j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.127923-200884783.466709j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.128734-200884783.466628j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.129544-200884783.466547j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.130354-200884783.466466j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.131164-200884783.466385j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.131974-200884783.466304j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
94181553.132784-200884783.466223j,-5.141163-0.127092j,-5.140257-0.129662j,0.000000
