-0.852155-0.021896j,-0.140601-2.934236j,-0.140601-2.934236j,0.000000
-0.852155-0.021896j,-0.140606-2.934237j,-0.140597-2.934234j,0.000000
-0.852155-0.021896j,-0.140604-2.934237j,-0.140599-2.934234j,0.000000
-0.852155-0.021896j,-0.140602-2.934238j,-0.140601-2.934234j,0.000000
-0.852155-0.021896j,-0.140602-2.934247j,-0.140600-2.934225j,0.000000
-0.852155-0.021896j,-0.140602-2.934247j,-0.140600-2.934224j,0.000000
-0.852155-0.021896j,-0.140603-2.934248j,-0.140600-2.934224j,0.000000
-0.852155-0.021896j,-0.140603-2.934248j,-0.140600-2.934223j,0.000000
-0.852155-0.021896j,-0.140603-2.934249j,-0.140600-2.934223j,0.000000
-0.852155-0.021896j,-0.140603-2.934249j,-0.140599-2.934222j,0.000000
-0.852155-0.021896j,-0.140603-2.934250j,-0.140599-2.934222j,0.000000
-0.852155-0.021896j,-0.140603-2.934250j,-0.140599-2.934221j,0.000000
-0.852155-0.021896j,-0.140603-2.934250j,-0.140599-2.934221j,0.000000
-0.852155-0.021896j,-0.140603-2.934251j,-0.140599-2.934221j,0.000000
-0.852155-0.021896j,-0.140603-2.934251j,-0.140599-2.934220j,0.000000
-0.852155-0.021896j,-0.140603-2.934251j,-0.140599-2.934220j,0.000000
-0.852155-0.021896j,-0.140603-2.934252j,-0.140599-2.934220j,0.000000
-0.852155-0.021896j,-0.140604-2.934252j,-0.140599-2.934219j,0.000000
-0.852155-0.021896j,-0.140604-2.934252j,-0.140599-2.934219j,0.000000
-0.852155-0.021896j,-0.140604-2.934252j,-0.140599-2.934219j,0.000000
-0.852155-0.021896j,-0.140604-2.934253j,-0.140599-2.934219j,0.000000
-0.852155-0.021896j,-0.140604-2.934253j,-0.140599-2.934218j,0.000000
-0.852155-0.021896j,-0.140604-2.934253j,-0.140599-2.934218j,0.000000
-0.852155-0.021896j,-0.140604-2.934253j,-0.140599-2.934218j,0.000000
-0.852155-0.021896j,-0.140604-2.934254j,-0.140599-2.934218j,0.000000
-0.852155-0.021896j,-0.140604-2.934254j,-0.140598-2.934217j,0.000000
-0.852155-0.021896j,-0.140604-2.934254j,-0.140598-2.934217j,0.000000
-0.852155-0.021896j,-0.140604-2.934254j,-0.140598-2.934217j,0.000000
-0.852155-0.021896j,-0.140604-2.934255j,-0.140598-2.934217j,0.000000
-0.852155-0.021896j,-0.140604-2.934255j,-0.140598-2.934217j,0.000000
