2.274815-2.219732j,-0.682140-2.545909j,-0.682140-2.545909j,0.000000
2.274815-2.219732j,-0.682143-2.545902j,-0.682137-2.545916j,0.000000
2.274815-2.219732j,-0.682141-2.545907j,-0.682139-2.545911j,0.000000
2.274815-2.219732j,-0.682138-2.545945j,-0.682142-2.545873j,0.000000
2.274815-2.219732j,-0.682138-2.545945j,-0.682142-2.545873j,0.000000
2.274815-2.219732j,-0.682138-2.545945j,-0.682143-2.545873j,0.000000
2.274815-2.219732j,-0.682138-2.545945j,-0.682143-2.545873j,0.000000
2.274815-2.219732j,-0.682137-2.545945j,-0.682143-2.545872j,0.000000
2.274815-2.219732j,-0.682137-2.545945j,-0.682143-2.545872j,0.000000
2.274815-2.219732j,-0.682137-2.545946j,-0.682143-2.545872j,0.000000
2.274815-2.219732j,-0.682137-2.545946j,-0.682144-2.545872j,0.000000
2.274815-2.219732j,-0.682137-2.545946j,-0.682144-2.545872j,0.000000
2.274815-2.219732j,-0.682136-2.545946j,-0.682144-2.545872j,0.000000
2.274815-2.219732j,-0.682136-2.545946j,-0.682144-2.545872j,0.000000
2.274815-2.219732j,-0.682136-2.545946j,-0.682144-2.545872j,0.000000
2.274815-2.219732j,-0.682136-2.545946j,-0.682145-2.545871j,0.000000
2.274815-2.219732j,-0.682136-2.545947j,-0.682145-2.545871j,0.000000
2.274815-2.219732j,-0.682135-2.545947j,-0.682145-2.545871j,0.000000
2.274815-2.219732j,-0.682135-2.545947j,-0.682145-2.545871j,0.000000
2.274815-2.219732j,-0.682135-2.545947j,-0.682145-2.545871j,0.000000
2.274815-2.219732j,-0.682135-2.545947j,-0.682145-2.545871j,0.000000
2.274815-2.219732j,-0.682135-2.545947j,-0.682146-2.545871j,0.000000
2.274815-2.219732j,-0.682135-2.545947j,-0.682146-2.545870j,0.000000
2.274815-2.219732j,-0.682134-2.545947j,-0.682146-2.545870j,0.000000
2.274815-2.219732j,-0.682134-2.545948j,-0.682146-2.545870j,0.000000
2.274815-2.219732j,-0.682134-2.545948j,-0.682146-2.545870j,0.000000
2.274815-2.219732j,-0.682134-2.545948j,-0.682146-2.545870j,0.000000
2.274815-2.219732j,-0.682134-2.545948j,-0.682147-2.545870j,0.000000
2.274815-2.219732j,-0.682134-2.545948j,-0.682147-2.545870j,0.000000
2.274815-2.219732j,-0.682134-2.545948j,-0.682147-2.545869j,0.000000
2.274815-2.219732j,-0.682133-2.545948j,-0.682147-2.545869j,0.000000
2.274815-2.219732j,-0.682133-2.545949j,-0.682147-2.545869j,0.000000
2.274815-2.219732j,-0.682133-2.545949j,-0.682147-2.545869j,0.000000
2.274815-2.219732j,-0.682133-2.545949j,-0.682147-2.545869j,0.000000
2.274815-2.219732j,-0.682133-2.545949j,-0.682148-2.545869j,0.000000
2.274815-2.219732j,-0.682133-2.545949j,-0.682148-2.545869j,0.000000
2.274815-2.219732j,-0.682133-2.545949j,-0.682148-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545949j,-0.682148-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545950j,-0.682148-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545950j,-0.682148-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545950j,-0.682148-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545950j,-0.682149-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545950j,-0.682149-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545950j,-0.682149-2.545868j,0.000000
2.274815-2.219732j,-0.682132-2.545950j,-0.682149-2.545867j,0.000000
