2.274815-2.219732j,-0.682140-2.545909j,-0.682140-2.545909j,0.000000
2.274815-2.219732j,-0.682143-2.545902j,-0.682137-2.545916j,0.000000
2.274815-2.219732j,-0.682141-2.545907j,-0.682140-2.545911j,0.000000
2.274815-2.219732j,-0.682117-2.545935j,-0.682163-2.545883j,0.000000
2.274815-2.219732j,-0.682117-2.545935j,-0.682163-2.545882j,0.000000
2.274815-2.219732j,-0.682117-2.545936j,-0.682163-2.545882j,0.000000
2.274815-2.219732j,-0.682117-2.545936j,-0.682163-2.545882j,0.000000
2.274815-2.219732j,-0.682118-2.545936j,-0.682163-2.545882j,0.000000
2.274815-2.219732j,-0.682118-2.545936j,-0.682163-2.545881j,0.000000
2.274815-2.219732j,-0.682118-2.545937j,-0.682163-2.545881j,0.000000
2.274815-2.219732j,-0.682118-2.545937j,-0.682163-2.545881j,0.000000
2.274815-2.219732j,-0.682118-2.545937j,-0.682163-2.545881j,0.000000
2.274815-2.219732j,-0.682118-2.545937j,-0.682163-2.545881j,0.000000
2.274815-2.219732j,-0.682118-2.545937j,-0.682162-2.545880j,0.000000
2.274815-2.219732j,-0.682118-2.545938j,-0.682162-2.545880j,0.000000
2.274815-2.219732j,-0.682118-2.545938j,-0.682162-2.545880j,0.000000
2.274815-2.219732j,-0.682118-2.545938j,-0.682162-2.545880j,0.000000
2.274815-2.219732j,-0.682118-2.545938j,-0.682162-2.545879j,0.000000
2.274815-2.219732j,-0.682118-2.545939j,-0.682162-2.545879j,0.000000
2.274815-2.219732j,-0.682118-2.545939j,-0.682162-2.545879j,0.000000
2.274815-2.219732j,-0.682118-2.545939j,-0.682162-2.545879j,0.000000
2.274815-2.219732j,-0.682118-2.545939j,-0.682162-2.545878j,0.000000
2.274815-2.219732j,-0.682118-2.545940j,-0.682162-2.545878j,0.000000
2.274815-2.219732j,-0.682118-2.545940j,-0.682162-2.545878j,0.000000
2.274815-2.219732j,-0.682118-2.545940j,-0.682162-2.545878j,0.000000
2.274815-2.219732j,-0.682118-2.545940j,-0.682162-2.545878j,0.000000
2.274815-2.219732j,-0.682118-2.545940j,-0.682162-2.545877j,0.000000
2.274815-2.219732j,-0.682119-2.545941j,-0.682162-2.545877j,0.000000
2.274815-2.219732j,-0.682119-2.545941j,-0.682162-2.545877j,0.000000
2.274815-2.219732j,-0.682119-2.545941j,-0.682162-2.545877j,0.000000
2.274815-2.219732j,-0.682119-2.545941j,-0.682162-2.545876j,0.000000
2.274815-2.219732j,-0.682119-2.545942j,-0.682162-2.545876j,0.000000
2.274815-2.219732j,-0.682119-2.545942j,-0.682162-2.545876j,0.000000
2.274815-2.219732j,-0.682119-2.545942j,-0.682162-2.545876j,0.000000
2.274815-2.219732j,-0.682119-2.545942j,-0.682162-2.545876j,0.000000
2.274815-2.219732j,-0.682119-2.545942j,-0.682162-2.545875j,0.000000
2.274815-2.219732j,-0.682119-2.545943j,-0.682162-2.545875j,0.000000
2.274815-2.219732j,-0.682119-2.545943j,-0.682162-2.545875j,0.000000
2.274815-2.219732j,-0.682119-2.545943j,-0.682162-2.545875j,0.000000
2.274815-2.219732j,-0.682119-2.545943j,-0.682162-2.545875j,0.000000
2.274815-2.219732j,-0.682119-2.545943j,-0.682162-2.545874j,0.000000
2.274815-2.219732j,-0.682119-2.545944j,-0.682162-2.545874j,0.000000
2.274815-2.219732j,-0.682119-2.545944j,-0.682162-2.545874j,0.000000
2.274815-2.219732j,-0.682119-2.545944j,-0.682162-2.545874j,0.000000
2.274815-2.219732j,-0.682119-2.545944j,-0.682162-2.545874j,0.000000
