0.225185+0.219732j,0.474226+2.964133j,0.474226+2.964133j,0.000000
0.225185+0.219732j,0.474218+2.964133j,0.474234+2.964133j,0.000000
0.225185+0.219732j,0.474222+2.964132j,0.474230+2.964134j,0.000000
0.225185+0.219732j,0.474228+2.964132j,0.474225+2.964135j,0.000000
0.225185+0.219732j,0.474233+2.964166j,0.474219+2.964100j,0.000000
0.225185+0.219732j,0.474233+2.964166j,0.474220+2.964100j,0.000000
0.225185+0.219732j,0.474233+2.964166j,0.474220+2.964100j,0.000000
0.225185+0.219732j,0.474232+2.964166j,0.474220+2.964101j,0.000000
0.225185+0.219732j,0.474232+2.964166j,0.474221+2.964101j,0.000000
0.225185+0.219732j,0.474232+2.964166j,0.474221+2.964101j,0.000000
0.225185+0.219732j,0.474231+2.964166j,0.474221+2.964101j,0.000000
0.225185+0.219732j,0.474231+2.964166j,0.474221+2.964101j,0.000000
0.225185+0.219732j,0.474231+2.964165j,0.474222+2.964101j,0.000000
0.225185+0.219732j,0.474231+2.964165j,0.474222+2.964101j,0.000000
0.225185+0.219732j,0.474230+2.964165j,0.474222+2.964101j,0.000000
0.225185+0.219732j,0.474230+2.964165j,0.474223+2.964101j,0.000000
0.225185+0.219732j,0.474230+2.964165j,0.474223+2.964101j,0.000000
0.225185+0.219732j,0.474229+2.964165j,0.474223+2.964101j,0.000000
0.225185+0.219732j,0.474229+2.964165j,0.474223+2.964101j,0.000000
0.225185+0.219732j,0.474229+2.964165j,0.474224+2.964101j,0.000000
0.225185+0.219732j,0.474228+2.964165j,0.474224+2.964102j,0.000000
0.225185+0.219732j,0.474228+2.964165j,0.474224+2.964102j,0.000000
0.225185+0.219732j,0.474228+2.964165j,0.474225+2.964102j,0.000000
0.225185+0.219732j,0.474227+2.964165j,0.474225+2.964102j,0.000000
0.225185+0.219732j,0.474227+2.964165j,0.474225+2.964102j,0.000000
0.225185+0.219732j,0.474227+2.964165j,0.474226+2.964102j,0.000000
0.225185+0.219732j,0.474226+2.964165j,0.474226+2.964102j,0.000000
0.225185+0.219732j,0.474226+2.964165j,0.474226+2.964102j,0.000000
0.225185+0.219732j,0.474226+2.964165j,0.474227+2.964102j,0.000000
0.225185+0.219732j,0.474226+2.964165j,0.474227+2.964102j,0.000000
0.225185+0.219732j,0.474225+2.964165j,0.474227+2.964102j,0.000000
0.225185+0.219732j,0.474225+2.964165j,0.474228+2.964102j,0.000000
0.225185+0.219732j,0.474225+2.964165j,0.474228+2.964102j,0.000000
0.225185+0.219732j,0.474224+2.964165j,0.474228+2.964102j,0.000000
0.225185+0.219732j,0.474224+2.964165j,0.474229+2.964102j,0.000000
0.225185+0.219732j,0.474224+2.964165j,0.474229+2.964101j,0.000000
0.225185+0.219732j,0.474223+2.964165j,0.474229+2.964101j,0.000000
0.225185+0.219732j,0.474223+2.964165j,0.474230+2.964101j,0.000000
0.225185+0.219732j,0.474223+2.964165j,0.474230+2.964101j,0.000000
0.225185+0.219732j,0.474222+2.964165j,0.474230+2.964101j,0.000000
