file_a,file_b,arc_fraction
data/path_data/path_data_104.csv,data/path_data/path_data_15.csv,1.0 14
data/path_data/path_data_106.csv,data/path_data/path_data_110.csv,1.0 15
data/path_data/path_data_106.csv,data/path_data/path_data_111.csv,1.0 16
data/path_data/path_data_106.csv,data/path_data/path_data_46.csv,1.0 17
data/path_data/path_data_106.csv,data/path_data/path_data_51.csv,1.0 18
data/path_data/path_data_106.csv,data/path_data/path_data_67.csv,1.0 19
data/path_data/path_data_107.csv,data/path_data/path_data_110.csv,1.0 20
data/path_data/path_data_107.csv,data/path_data/path_data_111.csv,1.0 21
data/path_data/path_data_107.csv,data/path_data/path_data_51.csv,1.0 22
data/path_data/path_data_107.csv,data/path_data/path_data_67.csv,1.0 23
data/path_data/path_data_108.csv,data/path_data/path_data_110.csv,1.0 24
data/path_data/path_data_108.csv,data/path_data/path_data_111.csv,1.0 25
data/path_data/path_data_108.csv,data/path_data/path_data_51.csv,1.0 26
data/path_data/path_data_108.csv,data/path_data/path_data_67.csv,1.0 27
data/path_data/path_data_110.csv,data/path_data/path_data_45.csv,1.0 28
data/path_data/path_data_111.csv,data/path_data/path_data_45.csv,1.0 29
data/path_data/path_data_112.csv,data/path_data/path_data_94.csv,1.0 30 <--
data/path_data/path_data_115.csv,data/path_data/path_data_12.csv,1.0 31
data/path_data/path_data_117.csv,data/path_data/path_data_39.csv,1.0 32
data/path_data/path_data_14.csv,data/path_data/path_data_53.csv,1.0 0
data/path_data/path_data_14.csv,data/path_data/path_data_54.csv,1.0 0
data/path_data/path_data_14.csv,data/path_data/path_data_62.csv,1.0 1
data/path_data/path_data_148.csv,data/path_data/path_data_22.csv,0.99 17
data/path_data/path_data_149.csv,data/path_data/path_data_22.csv,0.99 33
data/path_data/path_data_15.csv,data/path_data/path_data_189.csv,1.0 34
data/path_data/path_data_15.csv,data/path_data/path_data_190.csv,1.0 35
data/path_data/path_data_150.csv,data/path_data/path_data_22.csv,0.99 36
data/path_data/path_data_154.csv,data/path_data/path_data_24.csv,1.0 37
data/path_data/path_data_155.csv,data/path_data/path_data_24.csv,0.99 38
data/path_data/path_data_17.csv,data/path_data/path_data_56.csv,1.0 2
data/path_data/path_data_17.csv,data/path_data/path_data_64.csv,1.0 3
data/path_data/path_data_22.csv,data/path_data/path_data_44.csv,1.0 39
data/path_data/path_data_22.csv,data/path_data/path_data_69.csv,1.0 40
data/path_data/path_data_24.csv,data/path_data/path_data_52.csv,1.0 41
data/path_data/path_data_24.csv,data/path_data/path_data_80.csv,1.0 42
data/path_data/path_data_30.csv,data/path_data/path_data_99.csv,1.0 32
data/path_data/path_data_36.csv,data/path_data/path_data_44.csv,0.99 44 <- ghost
data/path_data/path_data_45.csv,data/path_data/path_data_46.csv,1.0 45
data/path_data/path_data_45.csv,data/path_data/path_data_51.csv,1.0 4
data/path_data/path_data_45.csv,data/path_data/path_data_67.csv,1.0 46
data/path_data/path_data_47.csv,data/path_data/path_data_50.csv,1.0 5
data/path_data/path_data_49.csv,data/path_data/path_data_52.csv,1.0 47
data/path_data/path_data_53.csv,data/path_data/path_data_55.csv,1.0 13
data/path_data/path_data_53.csv,data/path_data/path_data_63.csv,1.0 6
data/path_data/path_data_54.csv,data/path_data/path_data_55.csv,1.0 13
data/path_data/path_data_54.csv,data/path_data/path_data_63.csv,1.0 6
data/path_data/path_data_55.csv,data/path_data/path_data_62.csv,1.0 8
data/path_data/path_data_56.csv,data/path_data/path_data_57.csv,1.0 9
data/path_data/path_data_56.csv,data/path_data/path_data_66.csv,1.0 10
data/path_data/path_data_57.csv,data/path_data/path_data_64.csv,1.0 11
data/path_data/path_data_62.csv,data/path_data/path_data_63.csv,1.0 7
data/path_data/path_data_64.csv,data/path_data/path_data_66.csv,1.0 12
