0.059889+0.045199j,-0.060625-0.062832j,-0.060625-0.062832j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
0.059881+0.045199j,-0.060634-0.062834j,-0.060614-0.062828j,0.000000
