0.730189-1.589556j,-0.185607-1.445107j,-0.185607-1.445107j,0.000000
0.730189-1.589556j,-0.185600-1.445104j,-0.185615-1.445110j,0.000000
0.730189-1.589556j,-0.185605-1.445106j,-0.185609-1.445108j,0.000000
0.730189-1.589556j,-0.185646-1.445120j,-0.185569-1.445093j,0.000000
0.730189-1.589556j,-0.185646-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185646-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185646-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185566-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185566-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185566-1.445093j,0.000000
0.730189-1.589556j,-0.185649-1.445121j,-0.185566-1.445093j,0.000000
0.730189-1.589556j,-0.185649-1.445121j,-0.185566-1.445092j,0.000000
0.730189-1.589556j,-0.185649-1.445122j,-0.185566-1.445092j,0.000000
0.730189-1.589556j,-0.185649-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185649-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185649-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185563-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185563-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185563-1.445092j,0.000000
0.730189-1.589556j,-0.185652-1.445122j,-0.185563-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445122j,-0.185563-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185563-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185563-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185561-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185561-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185561-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185561-1.445091j,0.000000
0.730189-1.589556j,-0.185630-1.445115j,-0.185585-1.445099j,0.000000
0.730189-1.589556j,-0.185631-1.445115j,-0.185584-1.445099j,0.000000
0.730189-1.589556j,-0.185632-1.445116j,-0.185583-1.445098j,0.000000
0.730189-1.589556j,-0.185633-1.445116j,-0.185582-1.445098j,0.000000
0.730189-1.589556j,-0.185634-1.445116j,-0.185581-1.445098j,0.000000
0.730189-1.589556j,-0.185634-1.445116j,-0.185580-1.445097j,0.000000
0.730189-1.589556j,-0.185635-1.445117j,-0.185579-1.445097j,0.000000
0.730189-1.589556j,-0.185636-1.445117j,-0.185579-1.445097j,0.000000
0.730189-1.589556j,-0.185637-1.445117j,-0.185578-1.445097j,0.000000
0.730189-1.589556j,-0.185637-1.445117j,-0.185577-1.445096j,0.000000
0.730189-1.589556j,-0.185638-1.445118j,-0.185577-1.445096j,0.000000
0.730189-1.589556j,-0.185638-1.445118j,-0.185576-1.445096j,0.000000
0.730189-1.589556j,-0.185639-1.445118j,-0.185576-1.445096j,0.000000
0.730189-1.589556j,-0.185640-1.445118j,-0.185575-1.445096j,0.000000
0.730189-1.589556j,-0.185640-1.445118j,-0.185574-1.445095j,0.000000
0.730189-1.589556j,-0.185641-1.445119j,-0.185574-1.445095j,0.000000
0.730189-1.589556j,-0.185641-1.445119j,-0.185573-1.445095j,0.000000
0.730189-1.589556j,-0.185642-1.445119j,-0.185573-1.445095j,0.000000
0.730189-1.589556j,-0.185642-1.445119j,-0.185572-1.445095j,0.000000
0.730189-1.589556j,-0.185643-1.445119j,-0.185572-1.445095j,0.000000
0.730189-1.589556j,-0.185643-1.445119j,-0.185572-1.445094j,0.000000
0.730189-1.589556j,-0.185643-1.445120j,-0.185571-1.445094j,0.000000
0.730189-1.589556j,-0.185644-1.445120j,-0.185571-1.445094j,0.000000
0.730189-1.589556j,-0.185644-1.445120j,-0.185570-1.445094j,0.000000
0.730189-1.589556j,-0.185645-1.445120j,-0.185570-1.445094j,0.000000
0.730189-1.589556j,-0.185645-1.445120j,-0.185569-1.445094j,0.000000
0.730189-1.589556j,-0.185645-1.445120j,-0.185569-1.445094j,0.000000
0.730189-1.589556j,-0.185646-1.445120j,-0.185569-1.445093j,0.000000
0.730189-1.589556j,-0.185646-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185568-1.445093j,0.000000
0.730189-1.589556j,-0.185647-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185567-1.445093j,0.000000
0.730189-1.589556j,-0.185648-1.445121j,-0.185566-1.445093j,0.000000
0.730189-1.589556j,-0.185649-1.445121j,-0.185566-1.445092j,0.000000
0.730189-1.589556j,-0.185649-1.445122j,-0.185566-1.445092j,0.000000
0.730189-1.589556j,-0.185649-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185565-1.445092j,0.000000
0.730189-1.589556j,-0.185650-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185564-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185563-1.445092j,0.000000
0.730189-1.589556j,-0.185651-1.445122j,-0.185563-1.445092j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185563-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185563-1.445091j,0.000000
0.730189-1.589556j,-0.185652-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185562-1.445091j,0.000000
0.730189-1.589556j,-0.185653-1.445123j,-0.185561-1.445091j,0.000000
0.730189-1.589556j,-0.185654-1.445123j,-0.185561-1.445091j,0.000000
0.730189-1.589556j,-0.185654-1.445123j,-0.185560-1.445091j,0.000000
0.730189-1.589556j,-0.185655-1.445124j,-0.185560-1.445090j,0.000000
0.730189-1.589556j,-0.185655-1.445124j,-0.185559-1.445090j,0.000000
0.730189-1.589556j,-0.185656-1.445124j,-0.185559-1.445090j,0.000000
0.730189-1.589556j,-0.185656-1.445124j,-0.185558-1.445090j,0.000000
0.730189-1.589556j,-0.185657-1.445124j,-0.185558-1.445090j,0.000000
0.730189-1.589556j,-0.185657-1.445124j,-0.185557-1.445090j,0.000000
0.730189-1.589556j,-0.185658-1.445125j,-0.185557-1.445089j,0.000000
0.730189-1.589556j,-0.185658-1.445125j,-0.185557-1.445089j,0.000000
0.730189-1.589556j,-0.185658-1.445125j,-0.185556-1.445089j,0.000000
0.730189-1.589556j,-0.185659-1.445125j,-0.185556-1.445089j,0.000000
0.730189-1.589556j,-0.185659-1.445125j,-0.185555-1.445089j,0.000000
0.730189-1.589556j,-0.185660-1.445125j,-0.185555-1.445089j,0.000000
0.730189-1.589556j,-0.185660-1.445125j,-0.185554-1.445088j,0.000000
0.730189-1.589556j,-0.185661-1.445126j,-0.185554-1.445088j,0.000000
0.730189-1.589556j,-0.185661-1.445126j,-0.185554-1.445088j,0.000000
0.730189-1.589556j,-0.185661-1.445126j,-0.185553-1.445088j,0.000000
0.730189-1.589556j,-0.185662-1.445126j,-0.185553-1.445088j,0.000000
0.730189-1.589556j,-0.185662-1.445126j,-0.185552-1.445088j,0.000000
0.730189-1.589556j,-0.185662-1.445126j,-0.185552-1.445088j,0.000000
0.730189-1.589556j,-0.185663-1.445126j,-0.185552-1.445088j,0.000000
0.730189-1.589556j,-0.185663-1.445127j,-0.185551-1.445087j,0.000000
0.730189-1.589556j,-0.185664-1.445127j,-0.185551-1.445087j,0.000000
0.730189-1.589556j,-0.185664-1.445127j,-0.185551-1.445087j,0.000000
0.730189-1.589556j,-0.185664-1.445127j,-0.185550-1.445087j,0.000000
0.730189-1.589556j,-0.185665-1.445127j,-0.185550-1.445087j,0.000000
0.730189-1.589556j,-0.185665-1.445127j,-0.185550-1.445087j,0.000000
0.730189-1.589556j,-0.185665-1.445127j,-0.185549-1.445087j,0.000000
0.730189-1.589556j,-0.185666-1.445127j,-0.185549-1.445087j,0.000000
0.730189-1.589556j,-0.185666-1.445127j,-0.185549-1.445086j,0.000000
0.730189-1.589556j,-0.185666-1.445128j,-0.185548-1.445086j,0.000000
0.730189-1.589556j,-0.185667-1.445128j,-0.185548-1.445086j,0.000000
0.730189-1.589556j,-0.185667-1.445128j,-0.185548-1.445086j,0.000000
0.730189-1.589556j,-0.185667-1.445128j,-0.185547-1.445086j,0.000000
0.730189-1.589556j,-0.185668-1.445128j,-0.185547-1.445086j,0.000000
0.730189-1.589556j,-0.185668-1.445128j,-0.185547-1.445086j,0.000000
0.730189-1.589556j,-0.185668-1.445128j,-0.185546-1.445086j,0.000000
0.730189-1.589556j,-0.185668-1.445128j,-0.185546-1.445086j,0.000000
0.730189-1.589556j,-0.185669-1.445128j,-0.185546-1.445085j,0.000000
