1.526215+0.000000j,-0.137605+0.000000j,-0.137605+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
1.526215-0.000000j,-0.137528+0.000000j,-0.137683+0.000000j,0.000000
