-180026.275523+271356.384372j,-3.126490+1.081114j,-3.126490+1.081114j,0.000000
-180027.343138+271357.140466j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343138+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343138+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343138+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343138+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343137+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343137+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343137+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343136+271357.140465j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343136+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343136+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343136+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343135+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343135+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343135+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343134+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343134+271357.140464j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343134+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343134+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343133+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343133+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343133+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343132+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343132+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343132+271357.140463j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343132+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343131+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343131+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343131+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343131+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343130+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343130+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343130+271357.140462j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343129+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343129+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343129+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343129+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343128+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343128+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343128+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343127+271357.140461j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343127+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343127+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343127+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343126+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343126+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343126+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343125+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343125+271357.140460j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343125+271357.140459j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343125+271357.140459j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343124+271357.140459j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343124+271357.140459j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343123+271357.140459j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343123+271357.140458j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343122+271357.140458j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343122+271357.140458j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343121+271357.140458j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343120+271357.140457j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343120+271357.140457j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343119+271357.140457j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343119+271357.140457j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343118+271357.140456j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343118+271357.140456j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343117+271357.140456j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343117+271357.140456j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343116+271357.140455j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343115+271357.140455j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343115+271357.140455j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343114+271357.140455j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343114+271357.140454j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343113+271357.140454j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343113+271357.140454j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343112+271357.140454j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343112+271357.140453j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343111+271357.140453j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343110+271357.140453j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343110+271357.140453j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343109+271357.140452j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343109+271357.140452j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343108+271357.140452j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343108+271357.140452j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343107+271357.140451j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343106+271357.140451j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343106+271357.140451j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343105+271357.140451j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343105+271357.140450j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343104+271357.140450j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343104+271357.140450j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343103+271357.140450j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343103+271357.140449j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343102+271357.140449j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343101+271357.140449j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343101+271357.140449j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343100+271357.140448j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343100+271357.140448j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343099+271357.140448j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343099+271357.140448j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343098+271357.140447j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343098+271357.140447j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343097+271357.140447j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343096+271357.140447j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343095+271357.140446j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343094+271357.140446j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343093+271357.140445j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343092+271357.140445j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343091+271357.140444j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343090+271357.140444j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343089+271357.140443j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343087+271357.140443j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343086+271357.140442j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343085+271357.140442j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343084+271357.140441j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343083+271357.140441j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343082+271357.140440j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343081+271357.140440j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343080+271357.140439j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343079+271357.140438j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343077+271357.140438j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343076+271357.140437j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343075+271357.140437j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343074+271357.140436j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343073+271357.140436j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343072+271357.140435j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343071+271357.140435j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343070+271357.140434j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343068+271357.140434j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343067+271357.140433j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343066+271357.140433j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343065+271357.140432j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343064+271357.140432j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343063+271357.140431j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343062+271357.140431j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343061+271357.140430j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343060+271357.140430j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343058+271357.140429j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343057+271357.140429j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343056+271357.140428j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343055+271357.140428j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343054+271357.140427j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343053+271357.140427j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343052+271357.140426j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343051+271357.140426j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343049+271357.140425j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343048+271357.140425j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343047+271357.140424j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343046+271357.140424j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343045+271357.140423j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343044+271357.140423j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343043+271357.140422j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343042+271357.140422j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343041+271357.140421j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343039+271357.140421j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343038+271357.140420j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343036+271357.140419j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343035+271357.140419j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343034+271357.140418j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343032+271357.140418j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343031+271357.140417j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343029+271357.140416j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343028+271357.140416j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343027+271357.140415j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343025+271357.140414j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343024+271357.140414j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343022+271357.140413j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343021+271357.140413j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343020+271357.140412j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343018+271357.140411j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343017+271357.140411j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343015+271357.140410j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343014+271357.140409j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343013+271357.140409j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343011+271357.140408j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343010+271357.140408j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343008+271357.140407j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343007+271357.140406j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343006+271357.140406j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343004+271357.140405j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343003+271357.140404j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343001+271357.140404j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.343000+271357.140403j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342999+271357.140402j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342997+271357.140402j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342996+271357.140401j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342994+271357.140401j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342993+271357.140400j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342992+271357.140399j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342990+271357.140399j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342989+271357.140398j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342987+271357.140397j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342986+271357.140397j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342985+271357.140396j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342983+271357.140396j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342982+271357.140395j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342980+271357.140394j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342979+271357.140394j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342978+271357.140393j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
-180027.342976+271357.140392j,-3.126220+1.080087j,-3.126760+1.082141j,0.000000
