-0.084967-0.213557j,1.182071+2.276656j,1.182071+2.276656j,0.000000
-0.084967-0.213557j,1.182075+2.276662j,1.182067+2.276650j,0.000000
-0.084967-0.213557j,1.182072+2.276660j,1.182070+2.276652j,0.000000
-0.084967-0.213557j,1.182069+2.276655j,1.182073+2.276656j,0.000000
-0.084967-0.213557j,1.182098+2.276636j,1.182044+2.276674j,0.000000
-0.084967-0.213557j,1.182098+2.276637j,1.182043+2.276673j,0.000000
-0.084967-0.213557j,1.182098+2.276637j,1.182043+2.276673j,0.000000
-0.084967-0.213557j,1.182098+2.276637j,1.182043+2.276673j,0.000000
-0.084967-0.213557j,1.182098+2.276637j,1.182043+2.276673j,0.000000
-0.084967-0.213557j,1.182098+2.276638j,1.182043+2.276672j,0.000000
-0.084967-0.213557j,1.182099+2.276638j,1.182043+2.276672j,0.000000
-0.084967-0.213557j,1.182099+2.276638j,1.182043+2.276672j,0.000000
-0.084967-0.213557j,1.182099+2.276638j,1.182042+2.276672j,0.000000
-0.084967-0.213557j,1.182099+2.276639j,1.182042+2.276672j,0.000000
-0.084967-0.213557j,1.182099+2.276639j,1.182042+2.276671j,0.000000
-0.084967-0.213557j,1.182099+2.276639j,1.182042+2.276671j,0.000000
-0.084967-0.213557j,1.182099+2.276639j,1.182042+2.276671j,0.000000
-0.084967-0.213557j,1.182100+2.276639j,1.182042+2.276671j,0.000000
-0.084967-0.213557j,1.182100+2.276640j,1.182041+2.276671j,0.000000
-0.084967-0.213557j,1.182100+2.276640j,1.182041+2.276670j,0.000000
-0.084967-0.213557j,1.182100+2.276640j,1.182041+2.276670j,0.000000
-0.084967-0.213557j,1.182100+2.276640j,1.182041+2.276670j,0.000000
-0.084967-0.213557j,1.182100+2.276640j,1.182041+2.276670j,0.000000
-0.084967-0.213557j,1.182101+2.276641j,1.182041+2.276670j,0.000000
-0.084967-0.213557j,1.182101+2.276641j,1.182040+2.276669j,0.000000
-0.084967-0.213557j,1.182101+2.276641j,1.182040+2.276669j,0.000000
-0.084967-0.213557j,1.182101+2.276641j,1.182040+2.276669j,0.000000
-0.084967-0.213557j,1.182101+2.276641j,1.182040+2.276669j,0.000000
-0.084967-0.213557j,1.182102+2.276641j,1.182040+2.276669j,0.000000
-0.084967-0.213557j,1.182102+2.276642j,1.182039+2.276669j,0.000000
-0.084967-0.213557j,1.182102+2.276642j,1.182039+2.276668j,0.000000
-0.084967-0.213557j,1.182102+2.276642j,1.182039+2.276668j,0.000000
-0.084967-0.213557j,1.182102+2.276642j,1.182039+2.276668j,0.000000
-0.084967-0.213557j,1.182102+2.276642j,1.182039+2.276668j,0.000000
-0.084967-0.213557j,1.182103+2.276642j,1.182038+2.276668j,0.000000
-0.084967-0.213557j,1.182103+2.276643j,1.182038+2.276668j,0.000000
-0.084967-0.213557j,1.182103+2.276643j,1.182038+2.276668j,0.000000
-0.084967-0.213557j,1.182103+2.276643j,1.182038+2.276667j,0.000000
-0.084967-0.213557j,1.182103+2.276643j,1.182038+2.276667j,0.000000
-0.084967-0.213557j,1.182104+2.276643j,1.182037+2.276667j,0.000000
-0.084967-0.213557j,1.182104+2.276643j,1.182037+2.276667j,0.000000
-0.084967-0.213557j,1.182104+2.276643j,1.182037+2.276667j,0.000000
