0.027825+0.851901j,-0.001423+3.140908j,-0.001423+3.140908j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
0.027825+0.851901j,-0.000210+3.143719j,0.000094+3.140002j,0.000000
