-0.026923-0.853618j,0.001384-3.140633j,0.001384-3.140633j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
-0.026923-0.853618j,-0.001935-3.140388j,0.001486-3.142445j,0.000000
