-0.026651-0.851148j,-0.003088-3.141521j,-0.003088-3.141521j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
-0.026651-0.851148j,-0.004692-3.142305j,-0.001486-3.140740j,0.000000
