-0.025651-0.851882j,-0.000043+3.141310j,-0.000043+3.141310j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
-0.025651-0.851882j,-0.000077+3.139315j,-0.000004+3.143305j,0.000000
