-0.093389+0.107162j,0.617264+0.965384j,0.617264+0.965384j,0.000000
-0.093389+0.107162j,0.617263+0.965385j,0.617265+0.965383j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965490j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
-0.093389+0.107162j,0.617430+0.965277j,0.617098+0.965491j,0.000000
