-0.011237-0.002541j,-1.270209+1.130975j,-1.270209+1.130975j,0.000000
-0.011237-0.002541j,-1.270207+1.130971j,-1.270210+1.130979j,0.000000
-0.011237-0.002541j,-1.270213+1.130986j,-1.270204+1.130964j,0.000000
-0.011237-0.002541j,-1.270213+1.130987j,-1.270204+1.130964j,0.000000
-0.011237-0.002541j,-1.270214+1.130987j,-1.270204+1.130963j,0.000000
-0.011237-0.002541j,-1.270214+1.130987j,-1.270204+1.130963j,0.000000
-0.011237-0.002541j,-1.270214+1.130988j,-1.270203+1.130962j,0.000000
-0.011237-0.002541j,-1.270214+1.130988j,-1.270203+1.130962j,0.000000
-0.011237-0.002541j,-1.270214+1.130989j,-1.270203+1.130962j,0.000000
-0.011237-0.002541j,-1.270214+1.130989j,-1.270203+1.130961j,0.000000
-0.011237-0.002541j,-1.270215+1.130989j,-1.270203+1.130961j,0.000000
-0.011237-0.002541j,-1.270215+1.130989j,-1.270203+1.130961j,0.000000
-0.011237-0.002541j,-1.270215+1.130990j,-1.270203+1.130960j,0.000000
-0.011237-0.002541j,-1.270215+1.130990j,-1.270203+1.130960j,0.000000
-0.011237-0.002541j,-1.270215+1.130990j,-1.270202+1.130960j,0.000000
-0.011237-0.002541j,-1.270215+1.130991j,-1.270202+1.130960j,0.000000
-0.011237-0.002541j,-1.270215+1.130991j,-1.270202+1.130959j,0.000000
-0.011237-0.002541j,-1.270215+1.130991j,-1.270202+1.130959j,0.000000
-0.011237-0.002541j,-1.270215+1.130991j,-1.270202+1.130959j,0.000000
-0.011237-0.002541j,-1.270215+1.130991j,-1.270202+1.130959j,0.000000
-0.011237-0.002541j,-1.270216+1.130992j,-1.270202+1.130958j,0.000000
-0.011237-0.002541j,-1.270216+1.130992j,-1.270202+1.130958j,0.000000
-0.011237-0.002541j,-1.270216+1.130992j,-1.270202+1.130958j,0.000000
-0.011237-0.002541j,-1.270216+1.130992j,-1.270202+1.130958j,0.000000
-0.011237-0.002541j,-1.270216+1.130993j,-1.270202+1.130958j,0.000000
-0.011237-0.002541j,-1.270216+1.130993j,-1.270201+1.130957j,0.000000
-0.011237-0.002541j,-1.270216+1.130993j,-1.270201+1.130957j,0.000000
-0.011237-0.002541j,-1.270216+1.130993j,-1.270201+1.130957j,0.000000
-0.011237-0.002541j,-1.270216+1.130993j,-1.270201+1.130957j,0.000000
-0.011237-0.002541j,-1.270216+1.130993j,-1.270201+1.130957j,0.000000
-0.011237-0.002541j,-1.270216+1.130994j,-1.270201+1.130956j,0.000000
-0.011237-0.002541j,-1.270216+1.130994j,-1.270201+1.130956j,0.000000
-0.011237-0.002541j,-1.270217+1.130994j,-1.270201+1.130956j,0.000000
-0.011237-0.002541j,-1.270217+1.130994j,-1.270201+1.130956j,0.000000
-0.011237-0.002541j,-1.270217+1.130994j,-1.270201+1.130956j,0.000000
-0.011237-0.002541j,-1.270217+1.130995j,-1.270201+1.130956j,0.000000
-0.011237-0.002541j,-1.270217+1.130995j,-1.270201+1.130955j,0.000000
-0.011237-0.002541j,-1.270217+1.130995j,-1.270201+1.130955j,0.000000
-0.011237-0.002541j,-1.270217+1.130995j,-1.270201+1.130955j,0.000000
-0.011237-0.002541j,-1.270217+1.130995j,-1.270200+1.130955j,0.000000
-0.011237-0.002541j,-1.270217+1.130995j,-1.270200+1.130955j,0.000000
-0.011237-0.002541j,-1.270217+1.130995j,-1.270200+1.130955j,0.000000
-0.011237-0.002541j,-1.270217+1.130996j,-1.270200+1.130955j,0.000000
-0.011237-0.002541j,-1.270217+1.130996j,-1.270200+1.130954j,0.000000
-0.011237-0.002541j,-1.270217+1.130996j,-1.270200+1.130954j,0.000000
-0.011237-0.002541j,-1.270217+1.130996j,-1.270200+1.130954j,0.000000
-0.011237-0.002541j,-1.270217+1.130996j,-1.270200+1.130954j,0.000000
-0.011237-0.002541j,-1.270217+1.130996j,-1.270200+1.130954j,0.000000
-0.011237-0.002541j,-1.270218+1.130996j,-1.270200+1.130954j,0.000000
-0.011237-0.002541j,-1.270218+1.130997j,-1.270200+1.130954j,0.000000
-0.011237-0.002541j,-1.270218+1.130997j,-1.270200+1.130953j,0.000000
-0.011237-0.002541j,-1.270218+1.130997j,-1.270200+1.130953j,0.000000
-0.011237-0.002541j,-1.270218+1.130997j,-1.270200+1.130953j,0.000000
-0.011237-0.002541j,-1.270218+1.130997j,-1.270200+1.130953j,0.000000
-0.011237-0.002541j,-1.270218+1.130998j,-1.270199+1.130953j,0.000000
-0.011237-0.002541j,-1.270218+1.130998j,-1.270199+1.130952j,0.000000
-0.011237-0.002541j,-1.270218+1.130998j,-1.270199+1.130952j,0.000000
-0.011237-0.002541j,-1.270218+1.130998j,-1.270199+1.130952j,0.000000
-0.011237-0.002541j,-1.270218+1.130998j,-1.270199+1.130952j,0.000000
-0.011237-0.002541j,-1.270218+1.130999j,-1.270199+1.130951j,0.000000
-0.011237-0.002541j,-1.270219+1.130999j,-1.270199+1.130951j,0.000000
-0.011237-0.002541j,-1.270219+1.130999j,-1.270199+1.130951j,0.000000
-0.011237-0.002541j,-1.270219+1.130999j,-1.270199+1.130951j,0.000000
-0.011237-0.002541j,-1.270219+1.131000j,-1.270199+1.130951j,0.000000
-0.011237-0.002541j,-1.270219+1.131000j,-1.270199+1.130950j,0.000000
-0.011237-0.002541j,-1.270219+1.131000j,-1.270198+1.130950j,0.000000
-0.011237-0.002541j,-1.270219+1.131000j,-1.270198+1.130950j,0.000000
-0.011237-0.002541j,-1.270219+1.131000j,-1.270198+1.130950j,0.000000
-0.011237-0.002541j,-1.270219+1.131001j,-1.270198+1.130950j,0.000000
-0.011237-0.002541j,-1.270219+1.131001j,-1.270198+1.130949j,0.000000
-0.011237-0.002541j,-1.270219+1.131001j,-1.270198+1.130949j,0.000000
-0.011237-0.002541j,-1.270219+1.131001j,-1.270198+1.130949j,0.000000
-0.011237-0.002541j,-1.270219+1.131001j,-1.270198+1.130949j,0.000000
-0.011237-0.002541j,-1.270220+1.131001j,-1.270198+1.130949j,0.000000
-0.011237-0.002541j,-1.270220+1.131002j,-1.270198+1.130949j,0.000000
