-0.766882-0.090310j,-0.000000-3.141593j,-0.000000-3.141593j,0.000000
-0.766976-0.090306j,-0.000001-3.141593j,0.000001-3.141593j,0.000000
-0.767032-0.090304j,-0.000001-3.141593j,0.000001-3.141593j,0.000000
-0.767079-0.090301j,-0.000001-3.141593j,0.000001-3.141593j,0.000000
-0.767120-0.090300j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767159-0.090298j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767195-0.090296j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767228-0.090295j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767261-0.090293j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767292-0.090292j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767322-0.090291j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767351-0.090290j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767379-0.090288j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767406-0.090287j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767433-0.090286j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767459-0.090285j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-0.767484-0.090284j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767509-0.090283j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767534-0.090282j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767558-0.090281j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767581-0.090280j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767605-0.090279j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767628-0.090278j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767650-0.090277j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767672-0.090276j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767694-0.090275j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767716-0.090274j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767737-0.090273j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767758-0.090272j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767779-0.090271j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767800-0.090270j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767820-0.090270j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767841-0.090269j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767861-0.090268j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767880-0.090267j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767900-0.090266j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767919-0.090266j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767939-0.090265j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767958-0.090264j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767977-0.090263j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.767996-0.090262j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768014-0.090262j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768033-0.090261j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768051-0.090260j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768069-0.090259j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768087-0.090259j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768105-0.090258j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768123-0.090257j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768141-0.090257j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768158-0.090256j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768176-0.090255j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768193-0.090254j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768210-0.090254j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768227-0.090253j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768245-0.090252j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768261-0.090252j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768278-0.090251j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768295-0.090250j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768312-0.090250j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768328-0.090249j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768345-0.090248j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768361-0.090248j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768377-0.090247j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768393-0.090247j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768410-0.090246j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768426-0.090245j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768442-0.090245j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768457-0.090244j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768473-0.090243j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768489-0.090243j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768505-0.090242j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768520-0.090242j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768536-0.090241j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768551-0.090240j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768567-0.090240j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768582-0.090239j,-0.000002-3.141593j,0.000002-3.141592j,0.000000
-0.768597-0.090239j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768612-0.090238j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768628-0.090237j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768643-0.090237j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768658-0.090236j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768673-0.090236j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768687-0.090235j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768702-0.090235j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768717-0.090234j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768732-0.090234j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768746-0.090233j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768761-0.090232j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768776-0.090232j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768790-0.090231j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768804-0.090231j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768819-0.090230j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768833-0.090230j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768848-0.090229j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768862-0.090229j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768876-0.090228j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768890-0.090228j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768904-0.090227j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768918-0.090227j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768932-0.090226j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768946-0.090225j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768960-0.090225j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768974-0.090224j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.768988-0.090224j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769002-0.090223j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769016-0.090223j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769029-0.090222j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769043-0.090222j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769057-0.090221j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769070-0.090221j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769084-0.090220j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769097-0.090220j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769111-0.090219j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769124-0.090219j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769138-0.090218j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769151-0.090218j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769164-0.090218j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769178-0.090217j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769191-0.090217j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769204-0.090216j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769217-0.090216j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769230-0.090215j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769244-0.090215j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769257-0.090214j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769270-0.090214j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769283-0.090213j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769296-0.090213j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769309-0.090212j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769322-0.090212j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769335-0.090211j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769347-0.090211j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769360-0.090211j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769373-0.090210j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769386-0.090210j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769399-0.090209j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769411-0.090209j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769424-0.090208j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769437-0.090208j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769449-0.090207j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769462-0.090207j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769474-0.090206j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769487-0.090206j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769500-0.090206j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769512-0.090205j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769524-0.090205j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769537-0.090204j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769549-0.090204j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769562-0.090203j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769574-0.090203j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769586-0.090203j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769599-0.090202j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769611-0.090202j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769623-0.090201j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769635-0.090201j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769648-0.090200j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769660-0.090200j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769672-0.090200j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769684-0.090199j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769696-0.090199j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769708-0.090198j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769720-0.090198j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769732-0.090198j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769744-0.090197j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769756-0.090197j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769768-0.090196j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769780-0.090196j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769792-0.090196j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769804-0.090195j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769816-0.090195j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769828-0.090194j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769840-0.090194j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769852-0.090194j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769863-0.090193j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769875-0.090193j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769887-0.090192j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769899-0.090192j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769910-0.090192j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769922-0.090191j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769934-0.090191j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769945-0.090190j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769957-0.090190j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.769969-0.090190j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
