-1.150658+0.199504j,-0.000000-3.141593j,-0.000000-3.141593j,0.000000
-1.150759+0.199431j,-0.000000-3.141592j,0.000000-3.141593j,0.000000
-1.150818+0.199389j,-0.000001-3.141592j,0.000001-3.141593j,0.000000
-1.150868+0.199353j,-0.000001-3.141592j,0.000001-3.141593j,0.000000
-1.150913+0.199321j,-0.000001-3.141592j,0.000001-3.141593j,0.000000
-1.150954+0.199292j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.150992+0.199264j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.151028+0.199238j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.151063+0.199214j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.151096+0.199190j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.151128+0.199167j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.151159+0.199145j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.151189+0.199124j,-0.000001-3.141592j,0.000001-3.141594j,0.000000
-1.151218+0.199103j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151247+0.199083j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151275+0.199063j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151302+0.199044j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151329+0.199025j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151355+0.199007j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151380+0.198989j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151406+0.198971j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151431+0.198953j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151455+0.198936j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151479+0.198919j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151503+0.198903j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151526+0.198886j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151549+0.198870j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151572+0.198854j,-0.000001-3.141591j,0.000001-3.141594j,0.000000
-1.151595+0.198838j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151617+0.198823j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151639+0.198807j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151661+0.198792j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151683+0.198777j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151704+0.198762j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151725+0.198747j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151746+0.198733j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151767+0.198718j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151787+0.198704j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151808+0.198690j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151828+0.198676j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151848+0.198662j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151868+0.198648j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151888+0.198634j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151907+0.198621j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151927+0.198607j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151946+0.198594j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151965+0.198580j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.151984+0.198567j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.152003+0.198554j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.152022+0.198541j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.152040+0.198528j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.152059+0.198516j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.152077+0.198503j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.152096+0.198490j,-0.000002-3.141591j,0.000002-3.141594j,0.000000
-1.152114+0.198478j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152132+0.198465j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152150+0.198453j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152168+0.198441j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152185+0.198429j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152203+0.198417j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152221+0.198404j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152238+0.198393j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152255+0.198381j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152273+0.198369j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152290+0.198357j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152307+0.198345j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152324+0.198334j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152341+0.198322j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152358+0.198311j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152375+0.198299j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152391+0.198288j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152408+0.198276j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152425+0.198265j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152441+0.198254j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152457+0.198243j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152474+0.198232j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152490+0.198220j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152506+0.198209j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152522+0.198198j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152538+0.198188j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152554+0.198177j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152570+0.198166j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152586+0.198155j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152602+0.198144j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152618+0.198134j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152633+0.198123j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152649+0.198113j,-0.000002-3.141591j,0.000002-3.141595j,0.000000
-1.152665+0.198102j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152680+0.198092j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152696+0.198081j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152711+0.198071j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152726+0.198060j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152742+0.198050j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152757+0.198040j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152772+0.198029j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152787+0.198019j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152802+0.198009j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152817+0.197999j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152832+0.197989j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152847+0.197979j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152862+0.197969j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152877+0.197959j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152892+0.197949j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152907+0.197939j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152921+0.197929j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152936+0.197919j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152951+0.197910j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152965+0.197900j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152980+0.197890j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.152994+0.197880j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153009+0.197871j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153023+0.197861j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153037+0.197851j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153052+0.197842j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153066+0.197832j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153080+0.197823j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153094+0.197813j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153109+0.197804j,-0.000002-3.141590j,0.000002-3.141595j,0.000000
-1.153123+0.197795j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153137+0.197785j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153151+0.197776j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153165+0.197766j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153179+0.197757j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153193+0.197748j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153207+0.197739j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153221+0.197729j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153234+0.197720j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153248+0.197711j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153262+0.197702j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153276+0.197693j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153289+0.197684j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153303+0.197675j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
