-1.212552+0.131613j,0.000000+3.141593j,0.000000+3.141593j,0.000000
-1.212427+0.131580j,0.000001+3.141593j,-0.000001+3.141593j,0.000000
-1.212354+0.131561j,0.000001+3.141593j,-0.000001+3.141593j,0.000000
-1.212293+0.131545j,0.000001+3.141593j,-0.000001+3.141593j,0.000000
-1.212238+0.131530j,0.000001+3.141593j,-0.000001+3.141592j,0.000000
-1.212188+0.131517j,0.000001+3.141593j,-0.000001+3.141592j,0.000000
-1.212141+0.131505j,0.000001+3.141593j,-0.000001+3.141592j,0.000000
-1.212096+0.131493j,0.000001+3.141593j,-0.000001+3.141592j,0.000000
-1.212054+0.131482j,0.000001+3.141593j,-0.000001+3.141592j,0.000000
-1.212013+0.131472j,0.000001+3.141593j,-0.000001+3.141592j,0.000000
-1.211974+0.131461j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211935+0.131451j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211899+0.131442j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211863+0.131432j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211827+0.131423j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211793+0.131414j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211760+0.131406j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211727+0.131397j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211695+0.131389j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211663+0.131381j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211632+0.131373j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211601+0.131365j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211571+0.131357j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211541+0.131349j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
-1.211512+0.131342j,0.000002+3.141593j,-0.000002+3.141592j,0.000000
