-1.068416-0.240458j,0.000000-3.141593j,0.000000-3.141593j,0.000000
-1.068522-0.240404j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-1.068585-0.240372j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-1.068637-0.240346j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-1.068684-0.240322j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-1.068728-0.240300j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-1.068768-0.240280j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-1.068806-0.240261j,-0.000001-3.141593j,0.000001-3.141592j,0.000000
-1.068843-0.240243j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.068878-0.240225j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.068911-0.240209j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.068944-0.240192j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.068976-0.240177j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069006-0.240161j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069036-0.240146j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069066-0.240132j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069094-0.240118j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069122-0.240104j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069150-0.240090j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069177-0.240077j,-0.000001-3.141594j,0.000001-3.141592j,0.000000
-1.069204-0.240064j,-0.000001-3.141594j,0.000001-3.141591j,0.000000
-1.069230-0.240051j,-0.000001-3.141594j,0.000001-3.141591j,0.000000
-1.069256-0.240038j,-0.000001-3.141594j,0.000001-3.141591j,0.000000
-1.069281-0.240026j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.069306-0.240013j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.069331-0.240001j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.069355-0.239989j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.069379-0.239977j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.069403-0.239966j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.069426-0.239954j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.069450-0.239943j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
