-0.976933-0.248934j,-0.000000+3.141593j,-0.000000+3.141593j,0.000000
-0.977040-0.248898j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977103-0.248877j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977155-0.248859j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977203-0.248843j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977246-0.248828j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977287-0.248815j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977325-0.248802j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977362-0.248790j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977397-0.248778j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977431-0.248767j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977463-0.248756j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977495-0.248745j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977526-0.248735j,-0.000001+3.141592j,0.000001+3.141593j,0.000000
-0.977556-0.248725j,-0.000001+3.141592j,0.000001+3.141594j,0.000000
-0.977586-0.248715j,-0.000001+3.141592j,0.000001+3.141594j,0.000000
-0.977615-0.248706j,-0.000001+3.141592j,0.000001+3.141594j,0.000000
-0.977643-0.248697j,-0.000001+3.141592j,0.000001+3.141594j,0.000000
-0.977670-0.248688j,-0.000001+3.141592j,0.000001+3.141594j,0.000000
-0.977698-0.248679j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977724-0.248670j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977751-0.248661j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977777-0.248653j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977802-0.248644j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977827-0.248636j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977852-0.248628j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977877-0.248620j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977901-0.248612j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977925-0.248604j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977948-0.248597j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977972-0.248589j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.977995-0.248582j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.978017-0.248574j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.978040-0.248567j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.978062-0.248560j,-0.000002+3.141592j,0.000002+3.141594j,0.000000
-0.978085-0.248552j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978107-0.248545j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978128-0.248538j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978150-0.248531j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978171-0.248524j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978193-0.248518j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978214-0.248511j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978235-0.248504j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978255-0.248497j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978276-0.248491j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978296-0.248484j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978317-0.248478j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978337-0.248471j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978357-0.248465j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978376-0.248459j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978396-0.248452j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978416-0.248446j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978435-0.248440j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978455-0.248434j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978474-0.248427j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978493-0.248421j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
