-1.014190+0.006834j,1.386294-0.000000j,1.386294-0.000000j,0.000000
-1.013983+0.006977j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013861+0.007063j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013759+0.007136j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013668+0.007203j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013585+0.007264j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013507+0.007323j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013433+0.007378j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013363+0.007432j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013295+0.007484j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013230+0.007534j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013168+0.007583j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013107+0.007631j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.013048+0.007677j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.012990+0.007723j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.012934+0.007769j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.012879+0.007813j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.012826+0.007857j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.012773+0.007900j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.012721+0.007943j,1.386295-0.000000j,1.386294+0.000000j,0.000000
-1.012671+0.007985j,1.386295-0.000000j,1.386294+0.000001j,0.000000
-1.012621+0.008026j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012572+0.008068j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012523+0.008109j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012476+0.008149j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012429+0.008189j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012383+0.008229j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012337+0.008268j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012292+0.008308j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012248+0.008347j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012204+0.008385j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012160+0.008424j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012118+0.008462j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012075+0.008500j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.012033+0.008538j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011992+0.008575j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011951+0.008613j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011910+0.008650j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011870+0.008687j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011830+0.008724j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011790+0.008761j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011751+0.008797j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011712+0.008834j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011674+0.008870j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011635+0.008906j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011597+0.008942j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011560+0.008978j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011523+0.009014j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.011486+0.009050j,1.386295-0.000001j,1.386294+0.000001j,0.000000
