-1.003478-0.015238j,1.386294-0.000000j,1.386294-0.000000j,0.000000
-1.003632-0.015349j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.003722-0.015415j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.003797-0.015471j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.003863-0.015521j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.003924-0.015567j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.003980-0.015610j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.004033-0.015651j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.004083-0.015691j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-1.004131-0.015729j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004177-0.015765j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004221-0.015801j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004264-0.015835j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004305-0.015869j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004345-0.015901j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004384-0.015934j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004422-0.015965j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004459-0.015996j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004496-0.016026j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004531-0.016056j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-1.004566-0.016086j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004600-0.016115j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004633-0.016143j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004666-0.016171j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004698-0.016199j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004730-0.016226j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004761-0.016254j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004792-0.016280j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004822-0.016307j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004851-0.016333j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004881-0.016359j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004910-0.016385j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004938-0.016410j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004966-0.016435j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.004994-0.016460j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005021-0.016485j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005048-0.016510j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005075-0.016534j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005101-0.016558j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005127-0.016582j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005153-0.016606j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005178-0.016630j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005203-0.016653j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005228-0.016676j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005253-0.016699j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005277-0.016722j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005301-0.016745j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005325-0.016768j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005349-0.016790j,1.386293+0.000001j,1.386295-0.000001j,0.000000
-1.005372-0.016813j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005395-0.016835j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005418-0.016857j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005441-0.016879j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005464-0.016901j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005486-0.016922j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005508-0.016944j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005530-0.016965j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005552-0.016987j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005573-0.017008j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005595-0.017029j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005616-0.017050j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005637-0.017071j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005658-0.017092j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005678-0.017112j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005699-0.017133j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005719-0.017153j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005740-0.017174j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005760-0.017194j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005780-0.017214j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005799-0.017234j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005819-0.017254j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005838-0.017274j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005858-0.017294j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005877-0.017314j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.005896-0.017334j,1.386293+0.000001j,1.386296-0.000001j,0.000000
