-0.988310+0.014659j,1.386294+0.000000j,1.386294+0.000000j,0.000000
-0.988133+0.014571j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.988029+0.014519j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987943+0.014477j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987865+0.014440j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987794+0.014406j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987727+0.014374j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987664+0.014345j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987604+0.014317j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987547+0.014291j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987491+0.014266j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987438+0.014241j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987386+0.014218j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987335+0.014196j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987286+0.014174j,1.386295+0.000000j,1.386294-0.000000j,0.000000
-0.987238+0.014153j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.987191+0.014132j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.987145+0.014112j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.987100+0.014092j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.987056+0.014073j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.987012+0.014055j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.986969+0.014037j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.986927+0.014019j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.986886+0.014001j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.986845+0.013984j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.986805+0.013968j,1.386295+0.000000j,1.386293-0.000000j,0.000000
-0.986765+0.013951j,1.386295+0.000000j,1.386293-0.000000j,0.000000
