-0.968750-0.000000j,1.386294-0.000000j,1.386294-0.000000j,0.000000
-0.968899-0.000154j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-0.968986-0.000245j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-0.969059-0.000323j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-0.969122-0.000394j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-0.969181-0.000459j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-0.969235-0.000521j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-0.969286-0.000580j,1.386294+0.000000j,1.386295-0.000000j,0.000000
-0.969334-0.000637j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969379-0.000691j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969423-0.000744j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969466-0.000796j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969506-0.000846j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969545-0.000896j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969584-0.000944j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969620-0.000991j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969656-0.001038j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969691-0.001083j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969725-0.001128j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969759-0.001173j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969791-0.001217j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969823-0.001260j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969854-0.001303j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969884-0.001345j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969914-0.001387j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969943-0.001428j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.969972-0.001469j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970000-0.001510j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970027-0.001550j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970054-0.001590j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970081-0.001629j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970107-0.001669j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970133-0.001707j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970158-0.001746j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970183-0.001784j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970207-0.001822j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970231-0.001860j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970255-0.001898j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970278-0.001935j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970301-0.001972j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970324-0.002009j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970346-0.002045j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970368-0.002081j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970390-0.002118j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970411-0.002153j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970432-0.002189j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970453-0.002225j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970474-0.002260j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970494-0.002295j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970514-0.002330j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970533-0.002365j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970553-0.002399j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970572-0.002434j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970591-0.002468j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970609-0.002502j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970628-0.002536j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970646-0.002570j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970664-0.002603j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970682-0.002637j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970699-0.002670j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970717-0.002703j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970734-0.002736j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970751-0.002769j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970767-0.002802j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970784-0.002834j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970800-0.002867j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970816-0.002899j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970832-0.002931j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970848-0.002963j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970863-0.002995j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970878-0.003027j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970894-0.003058j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970909-0.003090j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970923-0.003121j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970938-0.003152j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970953-0.003184j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970967-0.003215j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970981-0.003246j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.970995-0.003276j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971009-0.003307j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971022-0.003338j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971036-0.003368j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971049-0.003398j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971063-0.003429j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971076-0.003459j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971089-0.003489j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971101-0.003519j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971114-0.003549j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971126-0.003578j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971139-0.003608j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971151-0.003637j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971163-0.003667j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971175-0.003696j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971187-0.003725j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971199-0.003754j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971210-0.003783j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971222-0.003812j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971233-0.003841j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971244-0.003870j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971255-0.003898j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971266-0.003927j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971277-0.003955j,1.386294+0.000001j,1.386295-0.000001j,0.000000
-0.971288-0.003984j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971299-0.004012j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971309-0.004040j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971319-0.004068j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971330-0.004096j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971340-0.004124j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971350-0.004152j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971360-0.004179j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971370-0.004207j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971380-0.004234j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971389-0.004262j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971399-0.004289j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971408-0.004316j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971418-0.004344j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971427-0.004371j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971436-0.004398j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971445-0.004425j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971454-0.004451j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971463-0.004478j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971472-0.004505j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971481-0.004532j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971489-0.004558j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971498-0.004584j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971506-0.004611j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971515-0.004637j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971523-0.004663j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971531-0.004689j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971539-0.004715j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971547-0.004741j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971555-0.004767j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971563-0.004793j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971571-0.004819j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971578-0.004845j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971586-0.004870j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971594-0.004896j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971601-0.004921j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971608-0.004946j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971616-0.004972j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971623-0.004997j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971630-0.005022j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971637-0.005047j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971644-0.005072j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971651-0.005097j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971658-0.005122j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971665-0.005147j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971672-0.005172j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971678-0.005196j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971685-0.005221j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971691-0.005245j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971698-0.005270j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971704-0.005294j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971711-0.005318j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971717-0.005343j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971723-0.005367j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971729-0.005391j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971735-0.005415j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971741-0.005439j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971747-0.005463j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971753-0.005487j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971759-0.005511j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971765-0.005534j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971770-0.005558j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971776-0.005581j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971782-0.005605j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971787-0.005628j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971793-0.005652j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971798-0.005675j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971804-0.005698j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971809-0.005722j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971814-0.005745j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971819-0.005768j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971825-0.005791j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971830-0.005814j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971835-0.005837j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971840-0.005860j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971845-0.005882j,1.386294+0.000002j,1.386295-0.000002j,0.000000
